LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,CONFIRMED,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,COUNCIL DISTRICT,LOCATION START DATE,LOCATION
0002185997-0001-9,GREENHOUSE HERBAL CENTER LLC,,Yes - retailer,5224 HOLLYWOOD BLVD,LOS ANGELES,90027-4909,5224 HOLLYWOOD 90027-4909,5224   HOLLYWOOD BLVD,LOS ANGELES,90027-4909,13,9/28/2006,"(34.1017, -118.3042)"
0002190532-0001-1,KB COLLECTIVE FOR COMPASSION AND CARE INC,THE KIND CENTER & KB CENTER FOR COMPASSIONATE CARE,Yes - retailer,1944 N CAHUENGA BLVD,LOS ANGELES,90068-3853,1944 CAHUENGA 90068-3853,4872   TOPANGA CANYON BLVD   #344,WOODLAND HILLS,91364-4229,4,10/13/2006,"(34.1066, -118.3303)"
0002915833-0001-0,"SLOANE & ROW, INC.",,,2629   WAVERLY DRIVE,LOS ANGELES,90039-2724,2629 WAVERLY 90039-2724,,,,4,1/13/2016,"(34.1069, -118.2589)"
0000410225-0002-1,SILVER LAKE CAREGIVERS GROUP INC,,,2464 FLETCHER DRIVE,LOS ANGELES,90039-2802,2464 FLETCHER 90039-2802,,,,13,5/22/2006,"(34.107, -118.2552)"
0003075556-0001-0,MOJAVE RICHMOND,,,2477   FLETCHER DRIVE,LOS ANGELES,90039-2801,2477 FLETCHER 90039-2801,,,,13,1/1/2018,"(34.1075, -118.2552)"
0002580753-0001-5,GREEN EARTH VITALITY CORPORATION,GREEN EARTH COLLECTIVE,,4801 YORK BLVD,LOS ANGELES,90042-1636,4801 YORK 90042-1636,,,,1,4/18/2011,"(34.1222, -118.2109)"
0002226675-0001-2,HOLISTIC HEALING ALTERNATIVE INC,GREENWOLF,Yes - retailer,2950   LOS FELIZ BLVD   SUITE #100,LOS ANGELES,90039-1501,2950 LOS FELIZ 90039-1501,,,,13,1/1/2007,"(34.1255, -118.2638)"
0002210774-0001-6,STUDIO CITY CAREGIVERS INC,UNIVERSAL COLLECTIVE,,3625 CAHUENGA BLVD W,LOS ANGELES,90068-1205,3625 CAHUENGA 90068-1205,,,,4,12/21/2006,"(34.1344, -118.3596)"
0002406834-0001-8,LIZBOR INC,WHTC,,3760 CAHUENGA BLVD,STUDIO CITY,91604-3578,3760 CAHUENGA 91604-3578,,,,4,2/1/2009,"(34.1358, -118.3619)"
0003067499-0001-8,P&B LABS HUMBOLDT LLC,PAPA & BARKLEY,,4127   SEQUOIA STREET,LOS ANGELES,90039-1119,4127 SEQUOIA 90039-1119,,,,13,1/1/2018,"(34.1364, -118.2681)"
0002182264-0001-5,HERBAL SOLUTIONS PRE ICO LLC,URBAN TREEZ,,11376   VENTURA BLVD,STUDIO CITY,91604-3139,11376 VENTURA 91604-3139,2711 N SEPULVEDA BLVD   #270,MANHATTAN BEACH,90266-2725,2,9/14/2006,"(34.1396, -118.3787)"
0002198991-0001-0,THE WELLNESS EARTH ENERGY DISPENSARY INC,PROJECT CANNABIS STUDIO CITY,,11557 VENTURA BLVD,STUDIO CITY,91604-2611,11557 VENTURA 91604-2611,,,,2,11/9/2006,"(34.1399, -118.3837)"
0002274920-0001-3,DEC MEDICAL GROUP INC,CANNASUTRA | DEC MEDICAL INC,,11101 VENTURA BLVD #1,STUDIO CITY,91604-3134,11101 VENTURA 91604-3134,13664 OTTOMAN STREET,ARLETA,91331-6314,2,9/14/2007,"(34.1411, -118.3719)"
0002207035-0001-3,PERENNIAL HOLISTIC WELLNESS CENTER INC,SWEETFLOWER STUDIO CITY,,11705 VENTURA BLVD,STUDIO CITY,91604-2616,11705 VENTURA 91604-2616,,,,2,12/7/2006,"(34.1414, -118.388)"
0002212486-0001-9,CORNERSTONE RESEARCH COLLECTIVE,CORNERSTONE WELNESS,Yes - retailer,2551 COLORADO BLVD,LOS ANGELES,90041-1040,2551 COLORADO 90041-1040,,,,14,1/2/2007,"(34.1417, -118.222)"
0002854331-0001-2,PURE VAPE INC.,,,3940 LAUREL CANYON BLVD UNIT #565,STUDIO CITY,91604-3709,3940 LAUREL CANYON 91604-3709,,,,2,2/13/2014,"(34.142, -118.3946)"
0002208457-0001-0,420 FOR THE PEOPLE COOPERATIVE INC,,,12433   VENTURA BLVD,STUDIO CITY,91604-2407,12433 VENTURA 91604-2407,19528   VENTURA BLVD   #308,TARZANA,91356-2917,2,12/15/2006,"(34.1429, -118.4042)"
0002212464-0001-2,BUDS & ROSES COLLECTIVE INC,BUDS & ROSES,,13047 VENTURA BLVD,STUDIO CITY,91604-2249,13047 VENTURA 91604-2249,,,,2,1/1/2007,"(34.1457, -118.4172)"
0002226606-0001-1,MMR CENTER INC,MEDICAL MARIJUANA RELIEF CENTER,,14000   VENTURA BLVD,SHERMAN OAKS,91423-3512,14000 VENTURA 91423-3512,27630 ONYX LANE,CASTAIC,91384-3160,4,2/16/2007,"(34.1488, -118.4374)"
0002163060-0001-5,THE HIGHER PATH PATIENT ASSOCIATION,JPHP MANAGEMENT  | THE HIGHER PATH,,14080 VENTURA BLVD,SHERMAN OAKS,91423-3542,14080 VENTURA 91423-3542,14080 VENTURA BLVD,SHERMAN OAKS,91423-3542,4,6/29/2006,"(34.1494, -118.4396)"
0002060233-0001-7,CALVIN FRYE,COMPASSIONATE CAREGIVERS OF STUDIO CITY,,11422 MOORPARK STREET,STUDIO CITY,91602-2010,11422 MOORPARK 91602-2010,,,,2,9/1/2005,"(34.1503, -118.3798)"
0002861172-0001-0,BRITT & BRITT LLC,SYCLE,,10112 RIVERSIDE DRIVE,TOLUCA LAKE,91602-2518,10112 RIVERSIDE 91602-2518,,,,4,10/15/2015,"(34.1522, -118.351)"
0002218104-0001-0,SMART COLLECTIVE INC,,,10745   RIVERSIDE DRIVE,NORTH HOLLYWOOD,91602-2371,10745 RIVERSIDE 91602-2371,7552 BLUEBELL AVENUE,NORTH HOLLYWOOD,91605-2019,4,1/18/2007,"(34.1526, -118.3651)"
0002245640-0001-4,NEW APOTHECARY INC,,,15374   DICKENS STREET,SHERMAN OAKS,91403-3007,15374 DICKENS 91403-3007,,,,5,5/8/2007,"(34.1531, -118.4689)"
0002878596-0001-5,FABRICATION LLC,,,15303   VENTURA BLVD   SUITE #1040,SHERMAN OAKS,91403-5805,15303 VENTURA 91403-5805,,,,4,9/29/2015,"(34.1541, -118.4673)"
0002174731-0001-0,CALIFORNIA COMPASSIONATE CARE NETWORK INC,MMD NORTH HOLLYWOOD,,4720 VINELAND AVENUE,NORTH HOLLYWOOD,91602-1222,4720 VINELAND 91602-1222,4720 VINELAND AVENUE,NORTH HOLLYWOOD,91602-1222,2,8/15/2006,"(34.1558, -118.3702)"
0002466514-0001-4,GREEN DOT,,,4821 LANKERSHIM BLVD UNIT #F-370,NORTH HOLLYWOOD,91601-4538,4821 LANKERSHIM 91601-4538,,,,2,9/1/2009,"(34.1584, -118.3706)"
0002261175-0001-1,HAZELWOOD PATIENTS COLLECTIVE,,,17523 VENTURA BLVD,ENCINO,91316-3836,17523 VENTURA 91316-3836,,,,5,7/18/2007,"(34.1615, -118.5148)"
0002178426-0001-3,RESOURCE REFERRAL SERVICES INC,"GVC,  GREEN VALLEY COLLECTIVE",,10842   MAGNOLIA BLVD,NORTH HOLLYWOOD,91601-3920,10842 MAGNOLIA 91601-3920,9301   WILSHIRE BLVD   SUITE #425,BEVERLY HILLS,90210-6144,2,9/5/2006,"(34.1644, -118.3674)"
0002193580-0001-2,ORGANIC CENTURY FARMACY INC,,,12458   MAGNOLIA BLVD W,VALLEY VILLAGE,91607-2451,12458 MAGNOLIA 91607-2451,,,,2,11/1/2006,"(34.1645, -118.4049)"
0002242390-0001-6,WELCOME THE HEALING TOUCH INC,,,18013 VENTURA BLVD UNIT #A,ENCINO,91316-3517,18013 VENTURA 91316-3517,,,,5,4/25/2007,"(34.1646, -118.5248)"
0002086566-0001-2,MOTHER NATURES REMEDY,MOTHER NATURE'S REMEDY,,22815   VENTURA BLVD,WOODLAND HILLS,91364-1202,22815 VENTURA 91364-1202,22815   VENTURA BLVD   UNIT #291,WOODLAND HILLS,91364-1202,3,1/10/2006,"(34.1659, -118.624)"
0002082405-0002-7,AFTER CARE PATIENT'S GROUP,,,5338 ALHAMA DRIVE,WOODLAND HILLS,91364-2101,5338 ALHAMA 91364-2101,,,,3,3/21/2007,"(34.1662, -118.5931)"
0002205123-0001-4,ALTERNATIVE MEDICINAL CAREGIVERS INC,GREEN ANGEL,,22748 VENTURA BLVD,WOODLAND HILLS,91364-1333,22748 VENTURA 91364-1333,18534   DEVONSHIRE     SUITE #428,NORTHRIDGE,91343-0000,3,12/15/2006,"(34.1664, -118.6219)"
0003240374-0001-7,I'M A KID,,,5420   YOLANDA AVENUE   UNIT #125,TARZANA,91356-6320,5420 YOLANDA 91356,14100   DICKENS STREET   UNIT #1,SHERMAN OAKS,91423-4236,3,9/21/2020,"(34.1694, -118.54)"
0003067563-0001-8,GREENARIUM INC.,,,5430   SATSUMA AVENUE,NORTH HOLLYWOOD,91601-2837,5430 SATSUMA 91601-2837,,,,2,1/1/2018,"(34.1697, -118.3672)"
0003067563-0003-4,GREENARIUM INC.,,,5426   SATSUMA AVENUE,NORTH HOLLYWOOD,91601-2837,5426 SATSUMA 91601-2837,,,,2,1/1/2018,"(34.1698, -118.367)"
0003067563-0002-6,GREENARIUM INC.,GREENARIUM,,5434   SATSUMA AVENUE,NORTH HOLLYWOOD,91601-2837,5434 SATSUMA 91601-2837,,,,2,1/1/2018,"(34.1698, -118.367)"
0002033952-0001-0,VALLEY COLLECTIVE CARE INC,THE ATRIUM GROUP,,5441   TOPANGA CANYON BLVD,WOODLAND HILLS,91367-6314,5441 TOPANGA CANYON 91367-6314,,,,3,4/15/2005,"(34.1698, -118.6062)"
0003068066-0001-8,PAET REAL ESTATE LLC,,,5537   CLEON AVENUE,NORTH HOLLYWOOD,91601-2836,5537 CLEON 91601-2836,21031 VENTURA BLVD SUITE #420,WOODLAND HILLS,91364-2257,2,1/1/2018,"(34.1713, -118.3689)"
0002188680-0001-1,HUMBOLDT RELIEF LLC,ELEVATE,,20010   VENTURA BLVD,WOODLAND HILLS,91364-2632,20010 VENTURA 91364-2632,,,,3,10/4/2006,"(34.1716, -118.5688)"
0002255600-0001-6,SUNSET HERBAL CORNER INC,SUNSET HERBAL CORNER,,11503 BURBANK BLVD UNIT #A,NORTH HOLLYWOOD,91601-2309,11503 BURBANK 91601-2309,,,,2,6/25/2007,"(34.1721, -118.3823)"
0002220929-0001-3,CHINATOWN PATIENT COLLECTIVE GROUP INC,COLLECTIVE GROUP CO,,15223   BURBANK BLVD,VAN NUYS,91411-3505,15223 BURBANK 91411-3505,7250   NUNES LANE,EUREKA,95503-7193,4,1/30/2007,"(34.1725, -118.4648)"
0002191730-0001-6,SHERMAN OAKS COLLECTIVE CARE INC,,,5740   LANKERSHIM BLVD,NORTH HOLLYWOOD,91601-1627,5740 LANKERSHIM 91601-1627,,,,2,10/15/2006,"(34.1751, -118.3804)"
0003072559-0001-1,"BARE FARMS DISTRIBUTION, LLC",,,15036   OXNARD STREET,VAN NUYS,91411-2612,15036 OXNARD 91411-2612,15035 OXNARD STREET,VAN NUYS,91411-2613,4,1/1/2018,"(34.1789, -118.4609)"
0003086585-0001-0,VO LEASING CORP,,,15164   OXNARD STREET,VAN NUYS,91411-2614,15164 OXNARD 91411-2614,,,,4,1/1/2018,"(34.1789, -118.464)"
0003016578-0002-3,SEROB PAPAZYAN,,,14310   OXNARD STREET,VAN NUYS,91401-3311,14310 OXNARD 91401-3311,14350   OXNARD STREET,VAN NUYS,91401-3311,4,1/1/2018,"(34.1791, -118.4449)"
0002239627-0001-1,RED MOON INC,,,14350 OXNARD STREET,VAN NUYS,91401-3311,14350 OXNARD 91401-3311,,,,4,4/1/2007,"(34.1793, -118.4453)"
0003070790-0001-7,CLARMONTI CONSULTING LLC,,,14217   OXNARD STREET,VAN NUYS,91401-3609,14217 OXNARD 91401-3609,23701 S WESTERN AVENUE   SPACE #76,TORRANCE,90501-5644,6,1/1/2018,"(34.1796, -118.4428)"
0002200695-0001-3,THE REEFINERY,,,14901   OXNARD STREET,VAN NUYS,91411-2611,14901 OXNARD 91411-2611,,,,6,11/30/2006,"(34.1796, -118.4577)"
0003067491-0001-1,PRIVATE LINE SERVICE LLC,AIMS HORTICULTURE,,15015   OXNARD STREET,VAN NUYS,91411-2613,15015 OXNARD 91411-2613,,,,6,1/1/2018,"(34.1797, -118.4603)"
0003068084-0001-6,LANCASTER STORAGE PROPERTIES LLC,,,14845   OXNARD STREET,VAN NUYS,91411-3124,14845 OXNARD 91411-3124,2355   WESTWOOD BLVD   #675,LOS ANGELES,90064-2109,6,1/1/2018,"(34.1798, -118.4568)"
0002643087-0001-9,RESEDA DISCOUNT CORPORATION,,,18448 OXNARD STREET BUILDING,TARZANA,91356-1504,18448 OXNARD 91356-1504,,,,3,10/15/2012,"(34.1799, -118.5349)"
0002238832-0001-1,RDC COLLECTIVE CORP,,,18448 OXNARD STREET,TARZANA,91356-1504,18448 OXNARD 91356-1504,,,,3,4/1/2007,"(34.1799, -118.535)"
0003069789-0001-3,LEON SNOW,,,14755   AETNA STREET,VAN NUYS,91411-2702,14755 AETNA 91411-2702,528   PALISADES DRIVE   #532,PACIFIC PALISADES,90272-2844,6,1/1/2018,"(34.1803, -118.455)"
0003081736-0001-6,KURE LABS INC,,,14770   CALVERT STREET   BUILDING,VAN NUYS,91411-2705,14770 CALVERT 91411-2705,,,,6,1/1/2018,"(34.1814, -118.4546)"
0002190335-0001-9,HIGHLAND PARK PATIENT COLLECTIVE INC,HPPC / THE PLANT,,21759   ERWIN STREET   SUITE #21757A,WOODLAND HILLS,91367-3608,21759 ERWIN 91367-3608,642   PALOMAR STREET   SUITE #406422,CHULA VISTA,91911-2626,3,10/30/2006,"(34.1829, -118.6032)"
0002645041-0001-1,A2Z NATIONWIDE SECURITY INC,,,6262 RESEDA BLVD APT #207,TARZANA,91335-6940,6262 RESEDA 91335-6940,,,,3,10/24/2012,"(34.184, -118.536)"
0002219954-0001-1,"SO CAL THE SYNDICATE, INC.",THE SYNDICATE,,6322 FALLBROOK AVENUE,WOODLAND HILLS,91367-1603,6322 FALLBROOK 91367-1603,6520   PLATT AVENUE   #838,WEST HILLS,91307-3218,3,1/25/2007,"(34.1849, -118.6233)"
0002231006-0001-2,VALLEY HERBAL CENTER INC,,,14522   VICTORY BLVD,VAN NUYS,91411-1618,14522 VICTORY 91411-1618,,,,6,4/1/2007,"(34.1866, -118.4495)"
0003075923-0001-8,MAD ORGANIX LLC,,,6711   VALJEAN AVENUE,VAN NUYS,91406-5819,6711 VALJEAN 91406-5819,,,,6,1/1/2018,"(34.1924, -118.4864)"
0002256995-0001-3,GRANADA HILLS DISCOUNT FARMACY INC,,,6710   VAN NUYS BLVD   UNIT #A,VAN NUYS,91405-4646,6710 VAN NUYS 91405-4646,,,,6,6/29/2007,"(34.1925, -118.4482)"
0003067675-0001-9,BEARD BROS INC,,,11951   VOSE STREET,NORTH HOLLYWOOD,91605-4229,11951 VOSE 91605-4229,20415   HAYNES STREET,WINNETKA,91306-4229,3,1/1/2018,"(34.193, -118.5779)"
0002190496-0001-3,PLATINUM CLUB INC,PLATINUM CLUB,,18441   VANOWEN STREET,RESEDA,91335-5324,18441 VANOWEN 91335-5324,16045   SHERMAN WAY   UNIT #78,VAN NUYS,91406-4085,3,10/13/2006,"(34.1939, -118.5349)"
0002274712-0001-2,COMPASSION UNION INC,,,11669   VANOWEN STREET,NORTH HOLLYWOOD,91605-6131,11669 VANOWEN 91605-6131,,,,2,9/13/2007,"(34.1942, -118.3867)"
0002255629-0001-4,HARBOR CAREGIVERS INC,CANNASSEUR'S CLUB,,11307   VANOWEN STREET,NORTH HOLLYWOOD,91605-6321,11307 VANOWEN 91605-6321,,,,2,6/25/2007,"(34.1943, -118.3771)"
0003086490-0001-2,KOLOR KONCEPT INC,ROOTS & BUDZ,,11333   VANOWEN STREET,NORTH HOLLYWOOD,91605-6321,11333 VANOWEN 91605-6321,14040   RUNNYMEDE STREET,VAN NUYS,91405-2511,2,1/1/2018,"(34.1943, -118.3779)"
0003075604-0001-1,CAL STATE INVESTMENTS LLC,,,11255   VANOWEN STREET,NORTH HOLLYWOOD,91605-6318,11255 VANOWEN 91605-6318,2746   OPHELIA COURT,SIMI VALLEY,93063-6549,2,1/1/2018,"(34.1945, -118.3764)"
0003067655-0001-1,VARAVO,VARAVO,,11314   HARTLAND STREET,NORTH HOLLYWOOD,91605-6309,11314 HARTLAND 91605-6309,1344   BRUCE AVENUE,GLENDALE,91202-2035,2,1/1/2018,"(34.1949, -118.3778)"
0003067662-0001-1,ZASP,,,11308   HARTLAND STREET,NORTH HOLLYWOOD,91605-6309,11308 HARTLAND 91605-6309,,,,2,1/1/2018,"(34.1951, -118.3781)"
0003074712-0001-6,HAYVENHEALTH LLC,,,6907   HAYVENHURST AVENUE,VAN NUYS,91406-4632,6907 HAYVENHURST 91406-4632,,,,6,1/1/2018,"(34.1959, -118.493)"
0002173631-0001-4,"MISSION HILLS PATIENTS COLLECTIVE, INC",,,18446   HART STREET   UNIT #M1-M2,RESEDA,91335-4215,18446 HART 91335-4215,18446   HART STREET   UNIT #M1-M2,RESEDA,91335-4215,3,8/14/2006,"(34.1971, -118.5351)"
0002277718-0001-1,HUNTINGTON PATIENTS ASSOCIATION COOPERATIVE INC,,,7011   CANOGA AVENUE,CANOGA PARK,91303-2034,7011 CANOGA 91303-2034,,,,3,4/18/2011,"(34.1978, -118.5981)"
0003067560-0001-4,CANNABISCO INC,CANNAFUSIONS,,7022   DARBY AVENUE   UNIT #B,RESEDA,91335-4494,7022 DARBY 91335-4494,14425   SYLVAN STREET,VAN NUYS,91401-2649,3,1/1/2018,"(34.1979, -118.5333)"
0003069595-0001-2,MELROSE FACILITY MANAGEMENT LLC,,,7027   ETON AVENUE,CANOGA PARK,91303-2112,7027 ETON 91303-2112,7027 ETON AVENUE,CANOGA PARK,91303-2112,3,1/1/2018,"(34.1982, -118.5958)"
0003028216-0001-1,CSA LA LLC,CANNASAFE,,7027   HAYVENHURST AVENUE,VAN NUYS,91406-3802,7027 HAYVENHURST 91406-3802,7027   HAYVENHURST AVENUE   BUILDING,VAN NUYS,91406-3802,6,1/1/2018,"(34.1983, -118.493)"
0003069846-0001-3,FLUIDS MANUFACTURING INC,MAMMOTH DISTRIBUTION,,11941   VOSE STREET,NORTH HOLLYWOOD,91605-5750,11941 VOSE 91605-5750,21650 OXNARD STREET SUITE #1900,WOODLAND HILLS,91367-7801,2,1/1/2018,"(34.1985, -118.393)"
0000097184-0001-2,DADDY'S PIPES INC,DADDY'S DISPENSARY,,7040   HAYVENHURST AVENUE,VAN NUYS,91406-3801,7040 HAYVENHURST 91406-3801,14430   VENTURA BLVD,SHERMAN OAKS,91423-2607,6,4/15/2000,"(34.1986, -118.4918)"
0002770970-0001-0,CAPNA INC,,,7061   HAYVENHURST AVENUE,VAN NUYS,91406-3802,7061 HAYVENHURST 91406-3802,3940 LAUREL CANYON BLVD #1591,STUDIO CITY,91604-3709,6,9/1/2014,"(34.1993, -118.4928)"
0002262577-0001-0,CALIFORNIA'S FINEST COAST TO COAST INC,COAST TO COAST COLLECTIVE,,7127 CANOGA AVENUE,CANOGA PARK,91303-2035,7127 CANOGA 91303-2035,,,,3,5/7/2007,"(34.1998, -118.5977)"
0002235309-0001-0,CALIFORNIA'S CHOICE COLLECTIVE INC,,,7117   LAUREL CANYON BLVD,NORTH HOLLYWOOD,91605-5741,7117 LAUREL CANYON 91605-5741,12141 BEAUFAIT AVENUE,PORTER RANCH,91326-1149,2,3/23/2007,"(34.1999, -118.3971)"
0002228941-0001-2,HEALTHY HERBAL CARE INC,HHC,,7123 SEPULVEDA BLVD,VAN NUYS,91405-2930,7123 SEPULVEDA 91405-2930,,,,6,2/28/2007,"(34.1999, -118.4662)"
0003067479-0001-1,ASCELPIUS INCORPORATED,STONEBREAKER,,7127   VINELAND AVENUE   UNIT #5,NORTH HOLLYWOOD,91605-6423,7127 VINELAND 91605-6423,1550   LEIGH AVENUE,SAN JOSE,95125-5301,2,1/1/2018,"(34.2002, -118.3707)"
0003070817-0001-8,STRATHERN PROJECT FACILITIES LLC,,,15759   STRATHERN STREET,VAN NUYS,91406-1311,15759 STRATHERN 91406-1311,21200   KITTRIDGE STREET,WOODLAND HILLS,91303-2870,6,1/1/2018,"(34.2006, -118.4871)"
0002273685-0001-6,FOUNTAIN OF WELLBEING A COOPERATIVE CORPORATION,FOUNTAIN OF WELL BEING,,7231 HINDS AVENUE,NORTH HOLLYWOOD,91605-3702,7231 HINDS 91605-3702,7231   HINDS AVENUE,NORTH HOLLYWOOD,91605-3702,2,9/1/2007,"(34.2017, -118.391)"
0003068067-0001-2,"VSV MUTUAL GROUP, INC.",,,7222   HINDS AVENUE,NORTH HOLLYWOOD,91605-3701,7222 HINDS 91605-3701,,,,2,1/1/2018,"(34.2018, -118.3908)"
0002239633-0001-7,"DIVINE WELLNESS CENTER, INC",,,7246 ETON AVENUE,CANOGA PARK,91303-1505,7246 ETON 91303-1505,,,,3,4/1/2007,"(34.2018, -118.5954)"
0003077104-0001-4,AAA STARS ALLIANCE LLC,,,13131   SHERMAN WAY   #300,NORTH HOLLYWOOD,91605-4783,13131 SHERMAN 91605-4783,,,,2,1/1/2018,"(34.2022, -118.4193)"
0002257223-0001-9,EIGHT ONE EIGHT COLLECTIVE,,,7232 SEPULVEDA BLVD,VAN NUYS,91405-2005,7232 SEPULVEDA 91405-2005,,,,14,7/2/2007,"(34.2022, -118.4661)"
0002240228-0001-4,GREEN DRAGON CAREGIVERS INC,GREEN DRAGON,,7236 VARNA AVENUE,NORTH HOLLYWOOD,91605-4102,7236 VARNA 91605-4102,,,,2,4/15/2007,"(34.2024, -118.4247)"
0003079584-0001-1,"MARIJAYE, A COOPERATIVE CORPORATION",,,16117   WYANDOTTE STREET,VAN NUYS,91406-3423,16117 WYANDOTTE 91406,5157   ANGELES VISTA BLVD,VIEW PARK,90043-1730,6,1/1/2018,"(34.2033, -118.4843)"
0003075494-0001-7,GETTY ANALYTICAL LLC,,,16123   WYANDOTTE STREET,VAN NUYS,91406-3423,16123 WYANDOTTE 91406-3423,,,,6,1/1/2018,"(34.2033, -118.4845)"
0003067483-0002-5,"VITA VIRIDIS, INC",,,7315   FULTON AVENUE,NORTH HOLLYWOOD,91605-4114,7315 FULTON 91605-4114,,,,2,1/1/2018,"(34.2036, -118.4231)"
0003072663-0001-6,SPENCER WONG,,,16121   LEADWELL STREET,VAN NUYS,91406-3417,16121 LEADWELL 91406-3417,,,,6,1/1/2018,"(34.2042, -118.4845)"
0003067436-0001-2,HTC SOLUTIONS INC.,HTC SOLUTIONS,,7418   LAUREL CANYON BLVD,NORTH HOLLYWOOD,91605-3134,7418 LAUREL CANYON 91605-3134,,,,2,1/1/2018,"(34.2053, -118.3961)"
0003075847-0001-5,RANAJIT CHAUDHURY,,,7419   GREENBUSH AVENUE,NORTH HOLLYWOOD,91605-4006,7419 GREENBUSH 91605-4006,,,,2,1/1/2018,"(34.2054, -118.4266)"
0003076052-0001-8,ANAT GROUP INC,,,7463   VARNA AVENUE,NORTH HOLLYWOOD,91605-4011,7463 VARNA 91605-4011,23371   MULHOLLAND DRIVE   FLOOR #2,WOODLAND HILLS,91364-2734,2,1/1/2018,"(34.2066, -118.4253)"
0003068072-0001-3,PEARL PHARMA INC,,,16146   COVELLO STREET,VAN NUYS,91406-2910,16146 COVELLO 91406-2910,14950 DELANO STREET,VAN NUYS,91411-2122,6,1/1/2018,"(34.2073, -118.4853)"
0003072744-0002-0,CALIGREEN LABORATORY,,,"13340   SATICOY STREET   UNIT #H, I, J",NORTH HOLLYWOOD,91605-7635,13340 SATICOY 91605-7635,,,,2,1/1/2018,"(34.2076, -118.424)"
0002244476-0001-9,KUSHISM INC,KUSHISM,,7555 WOODLEY AVENUE,VAN NUYS,91406-2930,7555 WOODLEY 91406-2930,,,,6,5/7/2007,"(34.2078, -118.4836)"
0002257519-0001-7,GREEN PLANT THERAPY INC,,,18438   SATICOY STREET W,RESEDA,91335-2910,18438 SATICOY 91335-2910,18534   DEVONSHIRE     SUITE #331,NORTHRIDGE,91324-0000,3,7/1/2007,"(34.2082, -118.5351)"
0003087096-0001-4,SCIAGRI,,,7532   ATOLL AVENUE,NORTH HOLLYWOOD,91605-1905,7532 ATOLL 91605-1905,922 E ANGELENO AVENUE,BURBANK,91501-1419,2,1/1/2018,"(34.2085, -118.4205)"
0003068114-0001-9,SENSI FLORA,,,13740   SATICOY STREET,PANORAMA CITY,91402-6518,13740 SATICOY 91402-6518,10400 GAYNOR AVENUE,GRANADA HILLS,91344-7024,6,1/1/2018,"(34.2095, -118.4324)"
0002231724-0001-8,HERBAL RELIEF CAREGIVERS INC,HERBAL RELIEF CAREGIVERS,,7648 CLYBOURN AVENUE #A,SUN VALLEY,91352-4622,7648 CLYBOURN 91352-4622,7648 CLYBOURN AVENUE #A,SUN VALLEY,91352-4628,2,2/15/2007,"(34.21, -118.3634)"
0003067481-0001-8,FOREIGN GENETICS INC,,,14646   KESWICK STREET,VAN NUYS,91405-1236,14646 KESWICK 91405-1236,3000   DONA NENITA PLACE,STUDIO CITY,91604-4328,6,1/1/2018,"(34.2102, -118.4522)"
0003081477-0001-1,VILLAGE FLORA INC,,,7628   SAN FERNANDO ROAD,SUN VALLEY,91352-4347,7628 SAN FERNANDO 91352-4347,,,,2,1/1/2018,"(34.2104, -118.355)"
0002189179-0001-4,WESTSIDE CAREGIVERS CLUB INC,DOSIST WS | WESTSIDE CAREGIVERS CLUB,,7731   HAYVENHURST AVENUE,VAN NUYS,91406-1730,7731 HAYVENHURST 91406-1730,7022 VALJEAN AVENUE,VAN NUYS,91406-3914,6,10/6/2006,"(34.211, -118.4937)"
0003068076-0001-1,CHASE MEDICAL ASSISTING AND SUPPLIES INC,,,7736   DENSMORE AVENUE,VAN NUYS,91406-1919,7736 DENSMORE 91406-1919,14950   DELANO STREET,VAN NUYS,91411-2122,6,1/1/2018,"(34.2114, -118.477)"
0003067493-0001-1,"CROWN GENETICS, LLC",,,7742   DENSMORE AVENUE,VAN NUYS,91406-1919,7742 DENSMORE 91406-1919,,,,6,1/1/2018,"(34.2116, -118.4763)"
0002243160-0001-6,"THE GREEN EARTH FARMACIE, INC",,,7756 BURNET AVENUE,VAN NUYS,91405-1007,7756 BURNET 91405-1007,7760 BURNET AVENUE,VAN NUYS,91405-1007,6,4/30/2007,"(34.2118, -118.4625)"
0002446971-0001-2,KINDER UNDERSTANDING SENSITIVE HEALING COLLECTIVE INC,KUSH COLLECTIVE,,16770 STAGG STREET,VAN NUYS,91406-1635,16770 STAGG 91406-1635,,,,6,1/19/2006,"(34.2131, -118.4976)"
0003075567-0001-8,STAGG PROJECT FACILITIES LLC,,,16868   STAGG STREET,VAN NUYS,91406-1636,16868 STAGG 91406-1636,633 W 5TH STREET   FLOOR #26TH,LOS ANGELES,90071-2005,6,1/1/2018,"(34.2131, -118.5003)"
0003068094-0002-8,ELSA ENTERPRISES INC,,,10648   ARMINTA STREET,SUN VALLEY,91352-4620,10648 ARMINTA 91352-4620,,,,2,1/1/2018,"(34.2136, -118.3634)"
0003067433-0001-9,CANNA SCIENCE LABS,,,7857   BURNET AVENUE,VAN NUYS,91405-1010,7857 BURNET 91405-1010,,,,6,1/1/2018,"(34.2137, -118.4632)"
